"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
,,,8,,,,,,
,,,,,,,,,
,,,1540.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.5702,,,,,,
,,,,,,,,,
2.188,,0.023,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,5.006,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.495,,0.261,13.248,,,,,,
,,,,,,,,,
,,,2.4567,,,,,,
0.167,,0.110,0.4831,,,,,,
0.548,,0.054,1.1,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,6.681,,,,,,
,,,,,,,,,
0.537,,0.386,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.102,,0.159,,,,,,,
,,,,,,,,,
0.269,,0.322,,,,,,,
,,,2.25,,,,,,
0.227,,0.197,6.0555,,,,,,
,,,,,,,,,
,,,10.29,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.150,,0.285,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,6.82,,,,,,
,,,10.773,,,,,,
,,,71.57,,,,,,
,,,21.8,,,,,,
,,,6.48,,,,,,
,,,13.98,,,,,,
,,,,,,,,,
0.197,,0.072,,,,,,,
0.308,,0.108,,,,,,,
,,,2.953,,,,,,
,,,2.582,,,,,,
,,,,,,,,,
,,,0.109138,,,,,,
1.451,,0.044,4.828,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,10.092,,,,,S,
,,,1.38,,,,,,
,,,65,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,28,,,,,,
,,,,,,,,,
0.321,,0.327,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.537,,0.056,6.74,,,,,,
,,,11.4876,,,,,,
,,,3.7,,,,,,
,,,,,,,,,
,,,2.603,,,,,,
,,,,,,,,,
,,,0.103154,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.69,,,,,,
,,,,,,,,,
,,,14.5,,,,,,
,,,,,,,,,
,,,3.623,,,,,L,
,,,,,,,,V,
,,,,,,,,,
0.202,,0.433,26.39,,,,,,
,,,5.8124,,,,,,
,,,,,,,,,
0.452,,0.125,3.6342,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.123,,,,,,
,,,4.609,,,,,,
,,,,,,,,,
,,,2.7365,,,,,,
,,,,,,,,,
,,,0.4777,,,,,,
1.039,,0.038,,,,,,,
,,,3.497,,,,,,
,,,,,,,,,
0.237,,0.314,19.304,,,,,,
,,,4.44,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,8.0364,,,,,,
,,,30.2,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.3,,,6.98,,,,,,
0.4,,,14.533,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.461,,0.044,,,,,,,
,,,10.105,,,,,,
,,,,,,,,,
0.260,,0.376,18.25,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.380,,0.032,,,,,,,
,,,,,,,,,
0.971,,0.068,8.71,,,,,,
0.665,,0.110,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Sq,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,9.0913,,,,,,
0.200,,0.094,,,,,,,
,,,,,,,,,
1.647,,0.028,,,,,,,
0.315,,0.093,5.6713,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,8.6763,,,,,,
,,,0.9801,,,,,,
,,,11.181,,,,,,
,,,,,,,,,
,,,8.038,,,,,,
,,,33.558,,,,,,
,,,5.789,,,,,,
,,,6.36,,,,,,
0.083,,0.448,,,,,,,
,,,,,,,,,
,,,3.2905,,,,,,
1.851,,0.047,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,1.42,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,10.07,,,,,,
,,,,,,,,,
,,,,,,,,,
0.346,,0.536,12.63,,,,,,
,,,,,,,,,
,,,,,,,,,
0.279,,0.569,3.277,,,,,,
,,,3.0917,,,,,,
,,,,,,,,S,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.851,,0.141,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,13.5,,,,,,
,,,37.7,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,60.8,,,,,,
,,,10.68,,,,,,
,,,,,,,,,
,,,,,,,,,
1.778,,0.047,9.443,,,,,,
0.363,,0.178,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,1.291,,,,,,
,,,5.357,,,,,,
,,,,,,,,,
,,,13.,,,,,,
,,,115,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.9139,,,,,,
,,,,,,,,,
,,,16.41,,,,,,
0.701,,0.249,,,,,,,
,,,0.0926702,,,,,,
,,,,,,,,,
,,,16.31,,,,,,
0.654,,0.079,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,7.572,,,,,V,
,,,3.0697,,,,,,
,,,3.2392,,,,,,
,,,,,,,,,
,,,,,,,,D,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,25.381,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,8,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,100,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,11.83,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.260,,0.072,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,45.1,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,5.665,,,,,,
,,,2.9656,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.374,,0.031,,,,,,,
,,,,,,,,,
,,,2.93,,,,,,
,,,,,,,,,
,,,2.68,,,,,,
,,,,,,,,,
,,,40.9,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.5286,,,,,,
,,,,,,,,,
,,,17.751,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,10.672,,,,,,
,,,6.9182,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.9476,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.91,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,30,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.66,,,,,,
,,,5.227,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,14.6,,,,,,
,,,1.3,,,,,,
,,,,,,,,C:,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.383,,0.058,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
